S.No,Sensor,Height,Total Records,Valid Records,Missing Records,Data Recovery Rate (%)
1,Spd 150m A,150m,144,144,0,100.0
2,Spd 150m B,150m,144,144,0,100.0
3,Spd 120m,120m,144,144,0,100.0
4,Spd 100m,100m,144,144,0,100.0
5,Spd 80m,80m,144,144,0,100.0
6,Spd 50m,50m,144,144,0,100.0
7,Spd 30m,30m,144,144,0,100.0
8,Spd 10m,10m,144,144,0,100.0
9,Dir 146m,146m,144,144,0,100.0
10,Dir 118m,118m,144,144,0,100.0
11,Dir 98m,98m,144,144,0,100.0
12,Dir 48m,48m,144,144,0,100.0
13,Tmp 120m,120m,144,144,0,100.0
14,Tmp 10m,10m,144,144,0,100.0
15,Pres 120m,120m,144,144,0,100.0
16,Pres 10m,10m,144,144,0,100.0
17,RH 120m,120m,144,144,0,100.0
18,RH 10m,10m,144,144,0,100.0
19,GHI,,144,144,0,100.0
