S.No,Label,Units,Height,Valid Data Points,DRR (%),Mean,Min,Max,Std. Dev.
1,Spd 150m A,m/s,150m,144,100.0,11.923,8.324,15.909,2.18
2,Spd 150m B,m/s,150m,144,100.0,12.005,8.438,16.088,2.21
3,Spd 120m,m/s,120m,144,100.0,11.468,7.72,15.477,2.305
4,Spd 100m,m/s,100m,144,100.0,11.267,7.461,15.427,2.408
5,Spd 80m,m/s,80m,144,100.0,10.75,6.946,14.86,2.398
6,Spd 50m,m/s,50m,144,100.0,9.841,5.92,14.145,2.34
7,Spd 30m,m/s,30m,144,100.0,8.346,4.738,12.205,2.067
8,Spd 10m,m/s,10m,144,100.0,5.632,2.366,8.463,1.608
9,Spd 150m A SD,m/s,150m,144,100.0,0.917,0.515,1.522,0.208
10,Spd 150m B SD,m/s,150m,144,100.0,0.924,0.531,1.527,0.208
11,Spd 120m SD,m/s,120m,144,100.0,0.918,0.581,1.543,0.191
12,Spd 100m SD,m/s,100m,144,100.0,0.949,0.612,1.564,0.196
13,Spd 80m SD,m/s,80m,144,100.0,0.964,0.605,1.644,0.199
14,Spd 50m SD,m/s,50m,144,100.0,1.146,0.584,1.835,0.277
15,Spd 30m SD,m/s,30m,144,100.0,1.385,0.772,2.251,0.357
16,Spd 10m SD,m/s,10m,144,100.0,1.554,1.076,2.201,0.245
17,Spd 150m A Gust,m/s,150m,144,100.0,14.464,11.0,19.3,2.164
18,Spd 150m B Gust,m/s,150m,144,100.0,14.542,10.2,20.1,2.227
19,Spd 120m Gust,m/s,120m,144,100.0,13.994,9.5,19.4,2.297
20,Spd 100m Gust,m/s,100m,144,100.0,13.803,9.5,18.6,2.488
21,Spd 80m Gust,m/s,80m,144,100.0,13.36,8.7,17.9,2.569
22,Spd 50m Gust,m/s,50m,144,100.0,12.758,8.0,19.3,2.77
23,Spd 30m Gust,m/s,30m,144,100.0,11.835,7.2,16.3,2.665
24,Spd 10m Gust,m/s,10m,144,100.0,9.951,5.7,14.8,2.419
25,Dir 146m,°,146m,144,100.0,204.0,195.4,213.8,4.1
26,Dir 118m,°,118m,144,100.0,201.9,193.1,211.9,4.2
27,Dir 98m,°,98m,144,100.0,202.9,193.8,214.1,4.4
28,Dir 48m,°,48m,144,100.0,200.5,191.1,210.9,4.5
29,Dir 146m SD,°,146m,144,100.0,4.0,2.2,6.8,1.1
30,Dir 118m SD,°,118m,144,100.0,4.1,2.5,7.1,1.1
31,Dir 98m SD,°,98m,144,100.0,4.2,2.6,7.3,1.0
32,Dir 48m SD,°,48m,144,100.0,6.0,3.9,8.8,1.0
33,GHI,W/m²,,144,100.0,214.3,1.0,1033.4,288.8
34,Tmp 120m,°C,120m,144,100.0,29.02,27.76,29.84,0.52
35,Tmp 10m,°C,10m,144,100.0,29.2,27.74,30.78,0.87
36,Pres 120m,hPa,120m,144,100.0,989.4,987.7,991.5,1.1
37,Pres 10m,hPa,10m,144,100.0,1000.1,998.3,1002.2,1.1
38,RH 120m,%,120m,144,100.0,84.5,78.5,93.1,3.7
39,RH 10m,%,10m,144,100.0,81.3,76.1,89.4,3.2
40,Spd 150m A TI,,150m,144,100.0,0.0797,0.0409,0.152,0.0237
41,Spd 150m B TI,,150m,144,100.0,0.0797,0.0415,0.1525,0.0235
42,Spd 120m TI,,120m,144,100.0,0.0831,0.0459,0.1556,0.0231
43,Spd 100m TI,,100m,144,100.0,0.0875,0.0513,0.1617,0.0232
44,Spd 80m TI,,80m,144,100.0,0.0926,0.0527,0.1693,0.0219
45,Spd 50m TI,,50m,144,100.0,0.1186,0.0704,0.244,0.0236
46,Spd 30m TI,,30m,144,100.0,0.1684,0.119,0.4335,0.035
47,Spd 10m TI,,10m,144,100.0,0.3019,0.2003,0.7511,0.1186
48,Spd 150m A WPD,W/m²,150m,144,100.0,1062.1,329.2,2295.4,540.6
49,Spd 150m B WPD,W/m²,150m,144,100.0,1085.6,342.9,2373.7,556.4
50,Spd 120m WPD,W/m²,120m,144,100.0,962.7,262.6,2109.8,528.1
51,Spd 100m WPD,W/m²,100m,144,100.0,925.4,237.1,2089.4,532.0
52,Spd 80m WPD,W/m²,80m,144,100.0,812.3,191.3,1867.4,485.4
53,Spd 50m WPD,W/m²,50m,144,100.0,634.5,118.6,1608.0,404.2
54,Spd 30m WPD,W/m²,30m,144,100.0,391.7,60.8,1033.0,258.4
55,Spd 10m WPD,W/m²,10m,144,100.0,126.0,7.6,344.9,87.9
