datetime,TI_150m_A,TI_150m_B,TI_120m,TI_100m,TI_80m,TI_50m,TI_30m,TI_10m
2026-07-07 00:00:00,0.101937,0.101605,0.114012,0.115279,0.103004,0.110922,0.171495,0.275438
2026-07-07 00:10:00,0.102495,0.100592,0.103286,0.100273,0.107437,0.112314,0.136016,0.245625
2026-07-07 00:20:00,0.088245,0.084864,0.122636,0.121704,0.114609,0.135617,0.15658,0.357352
2026-07-07 00:30:00,0.085927,0.087202,0.101329,0.098843,0.10685,0.133064,0.166129,0.434122
2026-07-07 00:40:00,0.076613,0.072601,0.079917,0.098351,0.125727,0.158296,0.200752,0.598154
2026-07-07 00:50:00,0.086884,0.083573,0.094626,0.107055,0.107193,0.124421,0.162029,0.529191
2026-07-07 01:00:00,0.086937,0.082705,0.087368,0.090619,0.104633,0.128833,0.190768,0.600638
2026-07-07 01:10:00,0.079587,0.080719,0.087483,0.098863,0.097467,0.106377,0.172349,0.52704
2026-07-07 01:20:00,0.095194,0.097187,0.103409,0.103041,0.119159,0.140838,0.199121,0.618347
2026-07-07 01:30:00,0.104823,0.105288,0.095754,0.095238,0.092027,0.12937,0.144246,0.331514
2026-07-07 01:40:00,0.075248,0.076138,0.077485,0.079875,0.091164,0.102188,0.145477,0.483636
2026-07-07 01:50:00,0.097151,0.092949,0.107164,0.108196,0.092236,0.096859,0.133541,0.377396
2026-07-07 02:00:00,0.086562,0.086682,0.087189,0.095395,0.106934,0.113847,0.156175,0.430451
2026-07-07 02:10:00,0.09863,0.100616,0.112435,0.119421,0.123524,0.150367,0.191704,0.619261
2026-07-07 02:20:00,0.104476,0.099653,0.093471,0.105005,0.116953,0.106441,0.14358,0.567083
2026-07-07 02:30:00,0.109207,0.109811,0.104564,0.10192,0.098787,0.102685,0.134675,0.385591
2026-07-07 02:40:00,0.125624,0.127212,0.118616,0.116505,0.107789,0.137143,0.180052,0.353152
2026-07-07 02:50:00,0.092301,0.093648,0.097855,0.098877,0.101687,0.126309,0.155533,0.256266
2026-07-07 03:00:00,0.093951,0.090072,0.097358,0.102638,0.121957,0.146441,0.177248,0.274054
2026-07-07 03:10:00,0.099538,0.0974,0.097774,0.103158,0.105054,0.137884,0.184694,0.400549
2026-07-07 03:20:00,0.083011,0.083816,0.077925,0.079807,0.069709,0.090132,0.123886,0.324994
2026-07-07 03:30:00,0.090218,0.090455,0.086692,0.069588,0.068108,0.070438,0.118977,0.272789
2026-07-07 03:40:00,0.066306,0.064026,0.064458,0.066127,0.07682,0.104617,0.162663,0.281175
2026-07-07 03:50:00,0.061329,0.060299,0.070344,0.069941,0.074808,0.092627,0.135576,0.323823
2026-07-07 04:00:00,0.054041,0.053669,0.059899,0.065048,0.071619,0.087017,0.135359,0.232712
2026-07-07 04:10:00,0.058098,0.055853,0.067463,0.075438,0.088371,0.107222,0.153113,0.279683
2026-07-07 04:20:00,0.056676,0.056628,0.068541,0.074423,0.079808,0.106336,0.152479,0.243754
2026-07-07 04:30:00,0.067499,0.068812,0.070581,0.072306,0.071804,0.105098,0.145645,0.219267
2026-07-07 04:40:00,0.055917,0.057969,0.066756,0.070459,0.076346,0.12059,0.156154,0.234313
2026-07-07 04:50:00,0.055088,0.056706,0.068579,0.074496,0.08197,0.117947,0.170149,0.256969
2026-07-07 05:00:00,0.06663,0.069141,0.067859,0.084722,0.090961,0.106235,0.141473,0.24253
2026-07-07 05:10:00,0.063125,0.064765,0.067586,0.075927,0.069529,0.110784,0.193962,0.239365
2026-07-07 05:20:00,0.071232,0.070795,0.079501,0.092264,0.092759,0.108192,0.160354,0.209422
2026-07-07 05:30:00,0.043397,0.042486,0.053178,0.061537,0.063714,0.087986,0.133696,0.205809
2026-07-07 05:40:00,0.048294,0.04768,0.05175,0.057192,0.06114,0.092815,0.145076,0.216667
2026-07-07 05:50:00,0.062929,0.065095,0.073851,0.078916,0.079551,0.101766,0.135968,0.200359
2026-07-07 06:00:00,0.073395,0.07573,0.0723,0.07902,0.079192,0.096022,0.136509,0.236707
2026-07-07 06:10:00,0.093829,0.100244,0.094948,0.096553,0.091079,0.10609,0.142609,0.237418
2026-07-07 06:20:00,0.101749,0.102367,0.099478,0.099946,0.111922,0.122776,0.179812,0.258494
2026-07-07 06:30:00,0.120013,0.120331,0.124012,0.12137,0.116693,0.135593,0.16106,0.210102
2026-07-07 06:40:00,0.107662,0.10389,0.102672,0.098309,0.086727,0.123954,0.169575,0.231334
2026-07-07 06:50:00,0.10532,0.103999,0.102803,0.116838,0.127412,0.146587,0.182426,0.242731
2026-07-07 07:00:00,0.080542,0.083176,0.079014,0.078256,0.078369,0.098188,0.163022,0.208743
2026-07-07 07:10:00,0.089241,0.089661,0.092734,0.095299,0.103227,0.126166,0.16432,0.258358
2026-07-07 07:20:00,0.113711,0.112749,0.121276,0.122305,0.13004,0.163457,0.244435,0.324053
2026-07-07 07:30:00,0.105267,0.107222,0.112547,0.122065,0.113538,0.127778,0.150804,0.22569
2026-07-07 07:40:00,0.114274,0.114723,0.112225,0.114536,0.119343,0.163973,0.234606,0.301345
2026-07-07 07:50:00,0.064607,0.062349,0.060529,0.057344,0.066447,0.119688,0.158382,0.220773
2026-07-07 08:00:00,0.064154,0.066145,0.062922,0.070908,0.083135,0.117104,0.16057,0.219888
2026-07-07 08:10:00,0.093486,0.093518,0.09332,0.093872,0.09467,0.156786,0.213891,0.25894
2026-07-07 08:20:00,0.10275,0.097691,0.107678,0.114652,0.120237,0.1576,0.212876,0.292859
2026-07-07 08:30:00,0.060113,0.059372,0.055077,0.060547,0.072592,0.090398,0.151079,0.238211
2026-07-07 08:40:00,0.066734,0.067455,0.056926,0.052257,0.054751,0.077885,0.145168,0.245867
2026-07-07 08:50:00,0.058119,0.058339,0.059224,0.062999,0.076388,0.131294,0.169518,0.222563
2026-07-07 09:00:00,0.051774,0.054892,0.052212,0.057056,0.070731,0.09081,0.153888,0.259877
2026-07-07 09:10:00,0.06441,0.063433,0.066778,0.083654,0.095532,0.118974,0.172414,0.231734
2026-07-07 09:20:00,0.073541,0.073643,0.075384,0.082749,0.083237,0.106025,0.162943,0.220878
2026-07-07 09:30:00,0.054482,0.053343,0.05546,0.062363,0.072714,0.103882,0.18059,0.248729
2026-07-07 09:40:00,0.052866,0.05298,0.055954,0.060418,0.071423,0.117894,0.175015,0.241293
2026-07-07 09:50:00,0.045618,0.044451,0.054794,0.064002,0.071522,0.108714,0.157685,0.251616
2026-07-07 10:00:00,0.057345,0.058023,0.061397,0.071589,0.087356,0.113121,0.184106,0.232694
2026-07-07 10:10:00,0.086674,0.088509,0.100025,0.113168,0.132218,0.163113,0.213124,0.29128
2026-07-07 10:20:00,0.068213,0.067885,0.068186,0.067115,0.081939,0.109649,0.164891,0.237839
2026-07-07 10:30:00,0.04088,0.04154,0.046104,0.053321,0.061666,0.09072,0.17772,0.260955
2026-07-07 10:40:00,0.05678,0.054624,0.057772,0.066634,0.086909,0.111986,0.174108,0.240083
2026-07-07 10:50:00,0.053854,0.054913,0.05192,0.056092,0.066963,0.099076,0.14749,0.24803
2026-07-07 11:00:00,0.064541,0.063427,0.076148,0.077271,0.090526,0.127019,0.170081,0.27678
2026-07-07 11:10:00,0.056476,0.055341,0.052951,0.055168,0.060309,0.093579,0.14994,0.223111
2026-07-07 11:20:00,0.058606,0.060344,0.063987,0.062696,0.069862,0.106064,0.144524,0.233113
2026-07-07 11:30:00,0.049519,0.049727,0.062528,0.071391,0.087776,0.118202,0.170523,0.233025
2026-07-07 11:40:00,0.054311,0.052729,0.051243,0.053419,0.063851,0.091238,0.157033,0.231238
2026-07-07 11:50:00,0.10069,0.101268,0.092686,0.091997,0.091751,0.104756,0.148815,0.234955
2026-07-07 12:00:00,0.045662,0.046546,0.053852,0.066232,0.072078,0.120671,0.181837,0.230693
2026-07-07 12:10:00,0.060253,0.061061,0.05448,0.058586,0.073943,0.130682,0.189208,0.271094
2026-07-07 12:20:00,0.056529,0.055754,0.062481,0.068552,0.083798,0.143484,0.189291,0.235458
2026-07-07 12:30:00,0.066388,0.067627,0.070323,0.066974,0.070384,0.09882,0.147632,0.23896
2026-07-07 12:40:00,0.053607,0.052925,0.073064,0.080277,0.087436,0.115294,0.16433,0.217068
2026-07-07 12:50:00,0.067508,0.063653,0.074218,0.087609,0.100085,0.141343,0.198521,0.272039
2026-07-07 13:00:00,0.07876,0.08093,0.075768,0.086858,0.094226,0.115619,0.167041,0.248214
2026-07-07 13:10:00,0.076588,0.075235,0.079237,0.083992,0.08836,0.129521,0.176683,0.277978
2026-07-07 13:20:00,0.067004,0.064395,0.07385,0.08143,0.092898,0.121914,0.15358,0.230467
2026-07-07 13:30:00,0.059241,0.061678,0.062307,0.061351,0.066492,0.10832,0.167286,0.256803
