datetime,Spd_150m,Spd_120m,Spd_100m,Spd_80m,Spd_50m,Spd_30m,Spd_10m,alpha_150m_vs_120m,alpha_120m_vs_100m,alpha_100m_vs_80m,alpha_80m_vs_50m,alpha_50m_vs_30m,alpha_30m_vs_10m
2026-07-07 00:00:00,9.428,8.964,8.77,8.388,7.654,6.42,4.393,0.226166,0.120006,0.199579,0.194836,0.344169,0.34535
2026-07-07 00:10:00,9.272,8.733,8.427,8.014,7.479,6.661,4.8,0.268393,0.195633,0.225195,0.147001,0.22675,0.298243
2026-07-07 00:20:00,9.127500000000001,8.513,8.192,7.591,7.064,6.246,4.094,0.312343,0.210816,0.341461,0.153088,0.240924,0.384502
2026-07-07 00:30:00,9.022,8.201,7.78,7.197,6.433,5.58,3.552,0.427572,0.289048,0.349067,0.238771,0.278475,0.411135
2026-07-07 00:40:00,9.4705,8.659,8.124,7.397,6.292,5.051,2.817,0.401457,0.349803,0.420125,0.344243,0.430074,0.531501
2026-07-07 00:50:00,9.680499999999999,9.025,8.547,7.883,6.904,5.499,2.929,0.314215,0.298474,0.362421,0.282142,0.445425,0.573364
2026-07-07 01:00:00,9.1085,8.447,8.155,7.684,6.784,5.546,2.822,0.337884,0.192956,0.266604,0.265048,0.39444,0.614986
2026-07-07 01:10:00,9.1385,8.596,8.092,7.5,6.618,5.338,3.199,0.27426,0.331398,0.340466,0.266189,0.420774,0.466054
2026-07-07 01:20:00,8.587,7.891,7.531,7.041,6.298,5.233,2.856,0.378799,0.256114,0.301499,0.237271,0.362643,0.551207
2026-07-07 01:30:00,8.4145,7.749,7.518,7.237,6.493,5.657,3.665,0.369236,0.165991,0.170712,0.230811,0.26982,0.395103
2026-07-07 01:40:00,8.6995,7.937,7.662,7.141,6.537,5.616,3.3,0.411081,0.193407,0.315583,0.188029,0.297281,0.483972
2026-07-07 01:50:00,9.038499999999999,8.361,8.004,7.535,6.876,5.781,3.548,0.349171,0.239339,0.2706,0.194726,0.339569,0.444372
2026-07-07 02:00:00,8.8545,8.212,7.883,7.341,6.579,5.417,3.192,0.337582,0.224263,0.319227,0.233173,0.380444,0.48142
2026-07-07 02:10:00,8.381,7.72,7.461,6.946,6.411,5.545,2.897,0.368162,0.187169,0.320527,0.170532,0.284086,0.590946
2026-07-07 02:20:00,8.9115,8.302,7.952,7.285,6.614,5.537,2.959,0.317491,0.236247,0.392599,0.205592,0.347938,0.570357
2026-07-07 02:30:00,9.5425,8.808,8.595,8.078,7.45,6.46,3.942,0.35894,0.134267,0.278011,0.172191,0.279126,0.449605
